Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
my,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.999,-1.3200000000000003,0,3416,12,0,3428
my,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.999,-0.99,0,3419,9,0,3428
my,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.999,-0.99,0,3419,9,0,3428
my,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.999,0.0,0,3428,0,0,3428
my,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.999,-1.3200000000000003,0,3416,12,0,3428
my,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.999,0.3834999963371425,3,3020,5,400,3428
my,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.999,-2.712801918582843,0,3018,7,403,3428
my,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.999,0.22583638540369066,1,3018,7,402,3428
my,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.999,-2.252354859771282,4,2995,30,399,3428
my,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.999,-2.9674188244007977,0,3016,9,403,3428
my,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.999,0.7489656343185591,8,3024,1,395,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.999,-0.38642727968545326,2,3021,5,400,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.999,0.26072174245488267,1,3018,7,402,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.999,-1.7214941471911045,2,3020,6,400,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.999,0.44579120807949996,12,3084,1,331,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.999,1.5158497578099053,4,3025,1,398,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.999,0.8589086704377245,4,3025,0,399,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.999,-1.1024179611107325,3,3017,6,402,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.999,-6.989999808686517,0,3014,9,405,3428
my,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.999,1.7124210157469086,9,3026,0,393,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.999,1.0709708192408187,4,3541,6,470,4021
my,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.999,0.8553262996215624,9,3025,0,394,3428
my,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.999,-3.1425152623769783,9,3463,0,456,3928
my,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.999,-0.88,0,3420,8,0,3428
my,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.999,-0.11765581029491146,1,3539,9,472,4021
my,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.999,1.4694395594549636,3,3023,3,399,3428
my,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.999,1.3860313656625434,6,3023,3,396,3428
my,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.999,-4.33,0,928,3,126,1057
