timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2014-02-14 14:30:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:35:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:40:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:45:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:50:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:55:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:00:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:05:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:10:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:15:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:20:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:25:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:30:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:35:00,0.2019999999999999,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:40:00,0.068,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:45:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:50:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:55:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:00:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:05:00,0.136,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:10:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:15:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:20:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:25:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:30:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:35:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:40:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:45:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:50:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:55:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:00:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:05:00,0.136,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:10:00,0.134,7.238937308727153e-05,0,-0.11,-0.22,-0.11
2014-02-14 17:15:00,0.134,2.972389090907458e-05,0,-0.11,-0.22,-0.11
2014-02-14 17:20:00,0.132,1.5233943483778134e-05,0,-0.11,-0.22,-0.11
2014-02-14 17:25:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:30:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:35:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:40:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:45:00,0.134,0.0028767409209395,0,-0.11,-0.22,-0.11
2014-02-14 17:50:00,0.134,5.277172973461591e-05,0,-0.11,-0.22,-0.11
2014-02-14 17:55:00,0.2019999999999999,1.636236210360016e-05,0,-0.11,-0.22,-0.11
2014-02-14 18:00:00,0.134,0.002971378145229,0,-0.11,-0.22,-0.11
2014-02-14 18:05:00,0.134,1.966693966862976e-05,0,-0.11,-0.22,-0.11
2014-02-14 18:10:00,0.134,5.867994732429528e-05,0,-0.11,-0.22,-0.11
2014-02-14 18:15:00,0.068,0.0001143510653428,0,-0.11,-0.22,-0.11
2014-02-14 18:20:00,0.132,0.0032151688460036,0,-0.11,-0.22,-0.11
2014-02-14 18:25:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 18:30:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 18:35:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 18:40:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 18:45:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 18:50:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 18:55:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 19:00:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-14 19:05:00,0.134,0.002778578901145,0,-0.11,-0.22,-0.11
2014-02-14 19:10:00,0.134,2.7986723132341885e-05,0,-0.11,-0.22,-0.11
2014-02-14 19:15:00,0.134,2.989635894740333e-05,0,-0.11,-0.22,-0.11
2014-02-14 19:20:00,0.066,5.528702811839967e-05,0,-0.11,-0.22,-0.11
2014-02-14 19:25:00,0.132,0.0024711769955654,0,-0.11,-0.22,-0.11
2014-02-14 19:30:00,0.134,8.48745669453166e-05,0,-0.11,-0.22,-0.11
2014-02-14 19:35:00,0.2,9.567692190349732e-05,0,-0.11,-0.22,-0.11
2014-02-14 19:40:00,0.132,0.0035443119344464,0,-0.11,-0.22,-0.11
2014-02-14 19:45:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 19:50:00,0.136,0.001,0,-0.11,-0.22,-0.11
2014-02-14 19:55:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 20:00:00,0.066,3.557932485856838e-05,0,-0.11,-0.22,-0.11
2014-02-14 20:05:00,0.134,0.0033702756773037,0,-0.11,-0.22,-0.11
2014-02-14 20:10:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 20:15:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 20:20:00,0.2,7.392684161526301e-06,0,-0.11,-0.22,-0.11
2014-02-14 20:25:00,0.132,0.0024044693342444,0,-0.11,-0.22,-0.11
2014-02-14 20:30:00,0.136,0.0001542079839536,0,-0.11,-0.22,-0.11
2014-02-14 20:35:00,0.134,0.0001362791207835,0,-0.11,-0.22,-0.11
2014-02-14 20:40:00,0.134,9.55352257488346e-05,0,-0.11,-0.22,-0.11
2014-02-14 20:45:00,0.134,8.359358406922766e-05,0,-0.11,-0.22,-0.11
2014-02-14 20:50:00,0.066,6.398838518400971e-05,0,-0.11,-0.22,-0.11
2014-02-14 20:55:00,0.134,0.0034007895244724,0,-0.11,-0.22,-0.11
2014-02-14 21:00:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 21:05:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 21:10:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 21:15:00,0.132,0.001,0,-0.11,-0.22,-0.11
2014-02-14 21:20:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-14 21:25:00,0.134,0.0027983643497233,0,-0.11,-0.22,-0.11
2014-02-14 21:30:00,0.132,5.225691402052008e-05,0,-0.11,-0.22,-0.11
2014-02-14 21:35:00,0.134,3.512272602749686e-05,0,-0.11,-0.22,-0.11
2014-02-14 21:40:00,0.132,8.528179561428707e-05,0,-0.11,-0.22,-0.11
2014-02-14 21:45:00,0.066,2.389134998158796e-05,0,-0.11,-0.22,-0.11
2014-02-14 21:50:00,0.134,0.0023419498063504,0,-0.11,-0.22,-0.11
2014-02-14 21:55:00,0.132,0.0001646986645087,0,-0.11,-0.22,-0.11
2014-02-14 22:00:00,0.134,0.0001175449726179,0,-0.11,-0.22,-0.11
2014-02-14 22:05:00,0.134,9.43133575178696e-05,0,-0.11,-0.22,-0.11
2014-02-14 22:10:00,0.066,4.859075274530892e-05,0,-0.11,-0.22,-0.11
2014-02-14 22:15:00,0.134,0.0026553293108852,0,-0.11,-0.22,-0.11
2014-02-14 22:20:00,0.132,0.000110887438774,0,-0.11,-0.22,-0.11
2014-02-14 22:25:00,0.134,4.9953815478893486e-05,0,-0.11,-0.22,-0.11
2014-02-14 22:30:00,0.132,7.112688417659957e-05,0,-0.11,-0.22,-0.11
2014-02-14 22:35:00,0.068,4.078668711237146e-05,0,-0.11,-0.22,-0.11
2014-02-14 22:40:00,0.132,0.0019885884343868,0,-0.11,-0.22,-0.11
2014-02-14 22:45:00,0.132,7.868154620362576e-05,0,-0.11,-0.22,-0.11
2014-02-14 22:50:00,0.134,5.074329321332343e-05,0,-0.11,-0.22,-0.11
2014-02-14 22:55:00,0.132,5.150201467854269e-05,0,-0.11,-0.22,-0.11
2014-02-14 23:00:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-14 23:05:00,0.134,2.581685755631313e-05,0,-0.11,-0.22,-0.11
2014-02-14 23:10:00,0.134,9.7674884156229e-06,0,-0.11,-0.22,-0.11
2014-02-14 23:15:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-14 23:20:00,0.132,0.0027912072447152,0,-0.11,-0.22,-0.11
2014-02-14 23:25:00,0.132,3.483974118761331e-05,0,-0.11,-0.22,-0.11
2014-02-14 23:30:00,0.066,3.41247948868073e-05,0,-0.11,-0.22,-0.11
2014-02-14 23:35:00,0.136,0.0024612684174877,0,-0.11,-0.22,-0.11
2014-02-14 23:40:00,0.134,0.0001264935935699,0,-0.11,-0.22,-0.11
2014-02-14 23:45:00,0.066,6.91940997462872e-05,0,-0.11,-0.22,-0.11
2014-02-14 23:50:00,0.134,0.0022079546761937,0,-0.11,-0.22,-0.11
2014-02-14 23:55:00,0.2,0.0001669292327089,0,-0.11,-0.22,-0.11
2014-02-15 00:00:00,0.134,0.0040140980697528,0,-0.11,-0.22,-0.11
2014-02-15 00:05:00,0.134,0.001,0,-0.11,-0.22,-0.11
2014-02-15 00:10:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-15 00:15:00,0.132,0.0030766372207092,0,-0.11,-0.22,-0.11
2014-02-15 00:20:00,0.134,9.34760265683383e-06,0,-0.11,-0.22,-0.11
2014-02-15 00:25:00,0.066,2.404331317718251e-05,0,-0.11,-0.22,-0.11
2014-02-15 00:30:00,0.136,0.0027471290792317,0,-0.11,-0.22,-0.11
2014-02-15 00:35:00,0.134,8.363771588654679e-05,0,-0.11,-0.22,-0.11
2014-02-15 00:40:00,0.134,3.3908892425317525e-05,0,-0.11,-0.22,-0.11
2014-02-15 00:45:00,0.066,2.463522581758456e-05,0,-0.11,-0.22,-0.11
2014-02-15 00:50:00,0.134,0.0024226630564433,0,-0.11,-0.22,-0.11
2014-02-15 00:55:00,0.134,6.612060193299741e-05,0,-0.11,-0.22,-0.11
2014-02-15 01:00:00,0.134,4.36628972468459e-05,0,-0.11,-0.22,-0.11
2014-02-15 01:05:00,0.068,3.64598539766949e-05,0,-0.11,-0.22,-0.11
2014-02-15 01:10:00,0.132,0.0021899677437713,0,-0.11,-0.22,-0.11
2014-02-15 01:15:00,0.134,0.000123934651521,0,-0.11,-0.22,-0.11
2014-02-15 01:20:00,0.134,9.594424957121474e-05,0,-0.11,-0.22,-0.11
2014-02-15 01:25:00,0.068,8.172353666969865e-05,0,-0.11,-0.22,-0.11
2014-02-15 01:30:00,0.134,0.0020199313708958,0,-0.11,-0.22,-0.11
2014-02-15 01:35:00,0.134,0.000155022013622,0,-0.11,-0.22,-0.11
2014-02-15 01:40:00,0.134,0.0001022764786446,0,-0.11,-0.22,-0.11
2014-02-15 01:45:00,0.134,8.010727970289017e-05,0,-0.11,-0.22,-0.11
2014-02-15 01:50:00,0.134,5.9653442881610894e-05,0,-0.11,-0.22,-0.11
2014-02-15 01:55:00,0.134,5.447116483492237e-05,0,-0.11,-0.22,-0.11
2014-02-15 02:00:00,0.066,1.710030916349012e-05,0,-0.11,-0.22,-0.11
2014-02-15 02:05:00,0.134,0.0025638842396916,0,-0.11,-0.22,-0.11
2014-02-15 02:10:00,0.132,0.0001005628686596,0,-0.11,-0.22,-0.11
2014-02-15 02:15:00,0.134,2.3318430420849044e-05,0,-0.11,-0.22,-0.11
2014-02-15 02:20:00,0.066,3.4264312519076253e-05,0,-0.11,-0.22,-0.11
2014-02-15 02:25:00,0.132,0.0023226937495088,0,-0.11,-0.22,-0.11
2014-02-15 02:30:00,0.132,4.100830250270738e-05,0,-0.11,-0.22,-0.11
2014-02-15 02:35:00,0.066,0.001,0,-0.11,-0.22,-0.11
2014-02-15 02:40:00,0.134,0.0022802534603957,0,-0.11,-0.22,-0.11
2014-02-15 02:45:00,0.134,0.0001546947026511,0,-0.11,-0.22,-0.11
