timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2014-02-14 14:30:00,6.456,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:35:00,5.816,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:40:00,6.268,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:45:00,5.816,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:50:00,5.862,0.001,0,-0.11,-0.22,-0.11
2014-02-14 14:55:00,6.246,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:00:00,6.648,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:05:00,6.448,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:10:00,6.46,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:15:00,5.834,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:20:00,6.232,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:25:00,6.064,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:30:00,6.0520000000000005,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:35:00,5.834,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:40:00,6.464,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:45:00,5.622000000000001,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:50:00,6.238,0.001,0,-0.11,-0.22,-0.11
2014-02-14 15:55:00,6.06,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:00:00,6.04,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:05:00,5.837999999999999,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:10:00,6.024,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:15:00,5.86,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:20:00,6.432,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:25:00,6.6720000000000015,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:30:00,6.0520000000000005,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:35:00,5.63,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:40:00,6.226,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:45:00,6.06,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:50:00,5.85,0.001,0,-0.11,-0.22,-0.11
2014-02-14 16:55:00,6.022,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:00:00,6.058,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:05:00,5.622000000000001,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:10:00,6.268,0.0445465815790455,0,-0.11,-0.22,-0.11
2014-02-14 17:15:00,6.454,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:20:00,7.066,0.0106718325188849,0,-0.11,-0.22,-0.11
2014-02-14 17:25:00,5.856,0.1053312780095352,0,-0.11,-0.22,-0.11
2014-02-14 17:30:00,6.254,0.0183835120542817,0,-0.11,-0.22,-0.11
2014-02-14 17:35:00,6.024,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:40:00,6.278,0.0069589977165725,0,-0.11,-0.22,-0.11
2014-02-14 17:45:00,5.834,0.001,0,-0.11,-0.22,-0.11
2014-02-14 17:50:00,5.843999999999999,0.0224839154065038,0,-0.11,-0.22,-0.11
2014-02-14 17:55:00,5.834,0.0192034842030921,0,-0.11,-0.22,-0.11
2014-02-14 18:00:00,6.053999999999999,0.0192178536165807,0,-0.11,-0.22,-0.11
2014-02-14 18:05:00,6.226,0.0029978931082134,0,-0.11,-0.22,-0.11
2014-02-14 18:10:00,5.6160000000000005,0.001,0,-0.11,-0.22,-0.11
2014-02-14 18:15:00,5.64,0.0476766669600193,0,-0.11,-0.22,-0.11
2014-02-14 18:20:00,6.03,0.0422702258265471,0,-0.11,-0.22,-0.11
2014-02-14 18:25:00,5.864,0.0031779017462961,0,-0.11,-0.22,-0.11
2014-02-14 18:30:00,7.27,0.0144402875937682,0,-0.11,-0.22,-0.11
2014-02-14 18:35:00,6.018,0.1586416422660376,0,-0.11,-0.22,-0.11
2014-02-14 18:40:00,6.2620000000000005,0.0059071258140545,0,-0.11,-0.22,-0.11
2014-02-14 18:45:00,5.8420000000000005,0.001,0,-0.11,-0.22,-0.11
2014-02-14 18:50:00,5.85,0.0212815766173324,0,-0.11,-0.22,-0.11
2014-02-14 18:55:00,6.046,0.0207564943836304,0,-0.11,-0.22,-0.11
2014-02-14 19:00:00,6.044,0.0053726693646746,0,-0.11,-0.22,-0.11
2014-02-14 19:05:00,5.827999999999999,0.0053772932182626,0,-0.11,-0.22,-0.11
2014-02-14 19:10:00,6.476,0.0209440886180643,0,-0.11,-0.22,-0.11
2014-02-14 19:15:00,6.046,0.0108020919488764,0,-0.11,-0.22,-0.11
2014-02-14 19:20:00,6.04,0.0031067627147642,0,-0.11,-0.22,-0.11
2014-02-14 19:25:00,6.0420000000000025,0.0027708067361752,0,-0.11,-0.22,-0.11
2014-02-14 19:30:00,7.104,0.0026824220676954,0,-0.11,-0.22,-0.11
2014-02-14 19:35:00,6.246,0.1152049741960205,0,-0.11,-0.22,-0.11
