timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2014-03-07 03:41:00,45.868,0.001,0,-0.11,-0.22,-0.11
2014-03-07 03:46:00,47.606,0.001,0,-0.11,-0.22,-0.11
2014-03-07 03:51:00,42.58,0.001,0,-0.11,-0.22,-0.11
2014-03-07 03:56:00,46.03,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:01:00,44.992,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:06:00,45.238,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:11:00,45.752,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:16:00,46.476000000000006,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:21:00,42.752,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:26:00,46.15600000000001,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:31:00,43.35,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:36:00,46.292,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:41:00,43.428,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:46:00,46.31399999999999,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:51:00,43.688,0.001,0,-0.11,-0.22,-0.11
2014-03-07 04:56:00,45.4,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:01:00,45.858,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:06:00,43.13800000000001,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:11:00,46.024,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:16:00,46.502,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:21:00,42.606,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:26:00,45.47,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:31:00,42.652,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:36:00,46.48,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:41:00,45.47,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:46:00,44.882,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:51:00,42.502,0.001,0,-0.11,-0.22,-0.11
2014-03-07 05:56:00,46.104,0.001,0,-0.11,-0.22,-0.11
2014-03-07 06:01:00,43.88399999999999,0.001,0,-0.11,-0.22,-0.11
2014-03-07 06:06:00,43.944,0.001,0,-0.11,-0.22,-0.11
2014-03-07 06:11:00,46.056,0.001,0,-0.11,-0.22,-0.11
2014-03-07 06:16:00,45.658,0.001,0,-0.11,-0.22,-0.11
2014-03-07 06:21:00,43.662,0.0026301954374825,0,-0.11,-0.22,-0.11
2014-03-07 06:26:00,44.074,0.0155233245723326,0,-0.11,-0.22,-0.11
2014-03-07 06:31:00,42.91,0.0045396849448465,0,-0.11,-0.22,-0.11
2014-03-07 06:36:00,44.32,0.0285531060837699,0,-0.11,-0.22,-0.11
2014-03-07 06:41:00,44.718,0.0009803829056536,0,-0.11,-0.22,-0.11
2014-03-07 06:46:00,45.658,0.001,0,-0.11,-0.22,-0.11
2014-03-07 06:51:00,42.63,0.0069702059446967,0,-0.11,-0.22,-0.11
2014-03-07 06:56:00,46.478,0.0345211893328118,0,-0.11,-0.22,-0.11
2014-03-07 07:01:00,46.432,0.0260427739700195,0,-0.11,-0.22,-0.11
2014-03-07 07:06:00,41.76600000000001,0.0172638907837968,0,-0.11,-0.22,-0.11
2014-03-07 07:11:00,47.008,0.0778082885720495,0,-0.11,-0.22,-0.11
2014-03-07 07:16:00,44.94600000000001,0.0305250208661451,0,-0.11,-0.22,-0.11
2014-03-07 07:21:00,42.112,0.0001773095933202,0,-0.11,-0.22,-0.11
2014-03-07 07:26:00,43.85,0.0691234996928039,0,-0.11,-0.22,-0.11
2014-03-07 07:31:00,43.78,0.0079433453729971,0,-0.11,-0.22,-0.11
2014-03-07 07:36:00,46.11,0.0083872508936015,0,-0.11,-0.22,-0.11
2014-03-07 07:41:00,43.662,0.0122706735387475,0,-0.11,-0.22,-0.11
2014-03-07 07:46:00,46.808,0.0107097731367179,0,-0.11,-0.22,-0.11
2014-03-07 07:51:00,40.586,0.0240131844568899,0,-0.11,-0.22,-0.11
2014-03-07 07:56:00,45.87,0.1582510218971087,0,-0.11,-0.22,-0.11
2014-03-07 08:01:00,43.618,0.0078171050875949,0,-0.11,-0.22,-0.11
2014-03-07 08:06:00,43.63800000000001,0.0137568019431865,0,-0.11,-0.22,-0.11
2014-03-07 08:11:00,48.412,0.010628983326591,0,-0.11,-0.22,-0.11
2014-03-07 08:16:00,40.61,0.0780498906890564,0,-0.11,-0.22,-0.11
2014-03-07 08:21:00,43.402,0.1633971928267779,0,-0.11,-0.22,-0.11
2014-03-07 08:26:00,42.324,0.0156253658988872,0,-0.11,-0.22,-0.11
2014-03-07 08:31:00,44.56399999999999,0.0429605067208086,0,-0.11,-0.22,-0.11
2014-03-07 08:36:00,42.858,0.001,0,-0.11,-0.22,-0.11
2014-03-07 08:41:00,45.63800000000001,0.0214208684931151,0,-0.11,-0.22,-0.11
2014-03-07 08:46:00,44.32,0.0115065460085001,0,-0.11,-0.22,-0.11
2014-03-07 08:51:00,40.916,0.0004967442055594,0,-0.11,-0.22,-0.11
2014-03-07 08:56:00,45.58600000000001,0.1037089416317097,0,-0.11,-0.22,-0.11
2014-03-07 09:01:00,43.69600000000001,0.0117844829582775,0,-0.11,-0.22,-0.11
2014-03-07 09:06:00,43.908,0.0044427525448816,0,-0.11,-0.22,-0.11
2014-03-07 09:11:00,47.042,0.0020365609586429,0,-0.11,-0.22,-0.11
2014-03-07 09:16:00,43.49800000000001,0.0499026775984336,0,-0.11,-0.22,-0.11
2014-03-07 09:21:00,43.772,0.0109727036598633,0,-0.11,-0.22,-0.11
2014-03-07 09:26:00,42.642,0.006308246266357,0,-0.11,-0.22,-0.11
2014-03-07 09:31:00,44.194,0.0303710456094754,0,-0.11,-0.22,-0.11
2014-03-07 09:36:00,45.63399999999999,0.0013420965910858,0,-0.11,-0.22,-0.11
2014-03-07 09:41:00,43.17,0.0084692271590463,0,-0.11,-0.22,-0.11
2014-03-07 09:46:00,43.732,0.0152547502181574,0,-0.11,-0.22,-0.11
2014-03-07 09:51:00,43.49800000000001,0.006176959084303,0,-0.11,-0.22,-0.11
2014-03-07 09:56:00,45.492,0.008129724254855,0,-0.11,-0.22,-0.11
2014-03-07 10:01:00,44.742,0.0078898236009391,0,-0.11,-0.22,-0.11
2014-03-07 10:06:00,43.216,0.0001051230398619,0,-0.11,-0.22,-0.11
2014-03-07 10:11:00,45.848,0.0162197522080642,0,-0.11,-0.22,-0.11
2014-03-07 10:16:00,42.824,0.0100841902529302,0,-0.11,-0.22,-0.11
2014-03-07 10:21:00,42.23,0.0275823604244895,0,-0.11,-0.22,-0.11
2014-03-07 10:26:00,42.442,0.0460398964311859,0,-0.11,-0.22,-0.11
2014-03-07 10:31:00,43.474,0.031476760987296,0,-0.11,-0.22,-0.11
2014-03-07 10:36:00,46.666,0.0069136050413914,0,-0.11,-0.22,-0.11
2014-03-07 10:41:00,40.97,0.0430986966493741,0,-0.11,-0.22,-0.11
2014-03-07 10:46:00,43.732,0.0984871495743652,0,-0.11,-0.22,-0.11
2014-03-07 10:51:00,45.164,0.0039254554126288,0,-0.11,-0.22,-0.11
2014-03-07 10:56:00,44.782,0.0063898170116193,0,-0.11,-0.22,-0.11
2014-03-07 11:01:00,44.084,0.0011990290995083,0,-0.11,-0.22,-0.11
2014-03-07 11:06:00,44.968,0.0010716889333715,0,-0.11,-0.22,-0.11
2014-03-07 11:11:00,46.104,0.0016171113075475,0,-0.11,-0.22,-0.11
2014-03-07 11:16:00,43.688,0.0175744718759674,0,-0.11,-0.22,-0.11
2014-03-07 11:21:00,42.332,0.0089328287393293,0,-0.11,-0.22,-0.11
2014-03-07 11:26:00,43.756,0.0435992568110766,0,-0.11,-0.22,-0.11
2014-03-07 11:31:00,43.708,0.0053261826539437,0,-0.11,-0.22,-0.11
2014-03-07 11:36:00,45.49800000000001,0.0062932430716301,0,-0.11,-0.22,-0.11
2014-03-07 11:41:00,45.774,0.006871412585535,0,-0.11,-0.22,-0.11
2014-03-07 11:46:00,42.31,0.0088526080190675,0,-0.11,-0.22,-0.11
2014-03-07 11:51:00,46.682,0.0497582684483378,0,-0.11,-0.22,-0.11
2014-03-07 11:56:00,43.49800000000001,0.0297646744159279,0,-0.11,-0.22,-0.11
2014-03-07 12:01:00,44.096,0.0137104231225932,0,-0.11,-0.22,-0.11
2014-03-07 12:06:00,44.022,0.0033102597665682,0,-0.11,-0.22,-0.11
2014-03-07 12:11:00,47.572,0.0043432194782051,0,-0.11,-0.22,-0.11
