timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2015-02-26 21:42:53,11,0.001,0,-0.11,-0.22,-0.11
2015-02-26 21:47:53,10,0.001,0,-0.11,-0.22,-0.11
2015-02-26 21:52:53,3,0.001,0,-0.11,-0.22,-0.11
2015-02-26 21:57:53,4,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:02:53,9,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:07:53,2,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:12:53,4,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:17:53,7,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:22:53,5,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:27:53,10,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:32:53,4,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:37:53,6,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:42:53,6,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:47:53,2,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:52:53,2,0.001,0,-0.11,-0.22,-0.11
2015-02-26 22:57:53,9,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:02:53,10,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:07:53,4,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:12:53,5,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:17:53,4,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:22:53,4,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:27:53,6,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:32:53,5,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:37:53,2,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:42:53,1,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:47:53,5,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:52:53,5,0.001,0,-0.11,-0.22,-0.11
2015-02-26 23:57:53,9,0.001,0,-0.11,-0.22,-0.11
2015-02-27 00:02:53,3,0.001,0,-0.11,-0.22,-0.11
2015-02-27 00:07:53,5,0.001,0,-0.11,-0.22,-0.11
2015-02-27 00:12:53,1,0.001,0,-0.11,-0.22,-0.11
2015-02-27 00:17:53,3,0.001,0,-0.11,-0.22,-0.11
2015-02-27 00:22:53,2,0.0127283889081433,0,-0.11,-0.22,-0.11
2015-02-27 00:27:53,1,0.0304044519158064,0,-0.11,-0.22,-0.11
2015-02-27 00:32:53,0,0.0375527508515721,0,-0.11,-0.22,-0.11
2015-02-27 00:37:53,3,0.0623778103145755,0,-0.11,-0.22,-0.11
